phrasal_verb,example,predicted_meaning
act out,He was acting out his feelings of inferiority by being overly aggressive.,to show the events that happened in a situation by doing them again or by doing the same things as the people involved
act out,He was gone so fast Tesla had no choice but to act out at the same time.,to do something that you have planned or had previously only thought of doing
act out,If something made Ben act out of character and he got drunk and then for some reason he got behind the wheel of that car.,to show the events that happened in a situation by doing them again or by doing the same things as the people involved
act out,"It's enough to make anyone act out of character, so please - don't feel embarrassed by last night!",to do something that you have planned or had previously only thought of doing
act out,"Just imagining these things is fine, as long as you don’t try to act them out.",to do something that you have planned or had previously only thought of doing
act out,"Never empty, we can never act ex nihilo, never act out of whim, never act as God.",to do something that you have planned or had previously only thought of doing
act out,The scenarios that the trainees act out are videotaped.,to show the events that happened in a situation by doing them again or by doing the same things as the people involved
act up,Agree with your partner how you are going to set boundaries for your stepson when he acts up.,"if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"
act up,I hope my back doesn’t start acting up again.,"if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"
act up,"Indeed, children who are hugely acting up are, in my experience, asking to be assertively managed.","if children act up, they behave badly"
act up,She began to play truant and acted up at home.,"if children act up, they behave badly"
act up,Surely none of them could possibly be acting up just for the cameras?,"if children act up, they behave badly"
act up,The kids have been acting up again.,"if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"
act up,Use the camera all the time so the family is used to it and stops going shy or acting up.,"if a part of your body or a piece of equipment acts up, it starts to become painful or to develop problems"
add in,We need to add in some information about his family background.,to include something as part of something else
add on,He told the man at the check stand that he was installing a tub in an add-on bathroom.,to build an extra part onto a building
add on,The referee added on eight minutes of injury time.,to build an extra part onto a building
add on,They refurbished the whole place and even added on.,to build an extra part onto a building
add on to,You might want to add on to the kitchen at a later date.,to build an extra part onto a building
add to,Add the amount of tax you paid to the total.,to make an amount or number greater by adding another amount or number
add to,All her many expenses were added to my bill.,to make something such as a feeling or a quality greater or more extreme
add to,The arrival of five more guests only added to the confusion.,to make something such as a feeling or a quality greater or more extreme
add up,All these little expenses soon add up.,to calculate the total of several numbers or amounts
add up,Even now most governments are assuming that people's claims collectively can be made to add up by a growing economy.,"if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have"
add up,How did the numbers add up for your club in the transfer window?,to calculate the total of several numbers or amounts
add up,I’m not very good at adding up in my head.,to calculate the total of several numbers or amounts
add up,Now add up the number of calories you have eaten.,to calculate the total of several numbers or amounts
add up,Now all he is doing is adding up how long he has to serve.,to calculate the total of several numbers or amounts
add up,There’s something about this case that just doesn’t add up.,"if a set of facts does not add up, you do not believe it is correct because it does not match other information that you already have"
add up to,All can add up to a bitter pill to swallow.,to combine to produce a particular result or effect
add up to,All that can add up to a significant weight loss.,to combine to produce a particular result or effect
add up to,"Family and friends can add up to 1,200 a year into the accounts.",to combine to produce a particular result or effect
add up to,"His business expenses add up to around £4,000 a year.",to combine to produce a particular result or effect
add up to,It can add up to 3lb.,to combine to produce a particular result or effect
add up to,It sounds like harmless fun - but kids' soaring expectations can add up to a financial crisis for parents.,to combine to produce a particular result or effect
add up to,Pick the ones you fancy so they add up to your daily total.,to combine to produce a particular result or effect
add up to,"Plus, you can still add up to three snacks a week, too!",to combine to produce a particular result or effect
add up to,Regular use of either can add up to 6lb.,to combine to produce a particular result or effect
add up to,"Retailers make huge profits from extended warranties, which can add up to 50 per cent of the purchase price.",to combine to produce a particular result or effect
add up to,"Similarly, excesses can add up to nearly 1,000.","if separate amounts add up to a total amount, together they form that total"
add up to,"That adds up to a total loss of nearly 10,000 over 20 years.",to combine to produce a particular result or effect
add up to,"The conditions, atmosphere and pitch can all add up to difficult nights.",to combine to produce a particular result or effect
add up to,The total added up to three times the actual profits.,to combine to produce a particular result or effect
add up to,These new measures do not add up to genuine reform.,to combine to produce a particular result or effect
add up to,They include the most serious charge of aiding the enemy and could add up to a cumulative total of 154 years in jail.,to combine to produce a particular result or effect
add up to,This may seem easier said than done - be aware that toiletries take up a lot of space and can add up to quite a weight.,to combine to produce a particular result or effect
add up to,"You also avoid paying things like valuation, legal and exit fees which can add up to 600 or more.",to combine to produce a particular result or effect
adhere to,"His followers adhere to a blend of Buddhist, Hindu, and Christian teachings.","to obey a rule, law, agreement etc"
adhere to,We must strictly adhere to the terms of the contract.,"to obey a rule, law, agreement etc"
adjourn to,Let’s adjourn to the bar.,to leave one place and move to another
agree with,He doesn’t agree with giving money to beggars.,"if something such as food or drink agrees with you, it does not make you feel ill"
agree with,I don’t agree with corporal punishment in schools.,to think that something is the right thing to do
agree with,I find that country life really agrees with me.,to think that something is the right thing to do
agree with,Stop taking the medicine if it doesn’t agree with you.,"if a situation or way of living agrees with you, you enjoy it and feel happy and relaxed"
alight on,Her eyes alighted on an extraordinary sight.,to suddenly notice or think of something
allow for,"Beyond that, we have the strongest squad here available to us, allowing for injuries.",to consider something when making a plan or calculation
allow for,Neither theory allows for the other.,to consider something when making a plan or calculation
allow for,Take extra clothes to allow for the weather and don't forget an extra pair of shoes.,to consider something when making a plan or calculation
allow for,The RFU has requested spectators not to bring large bags or rucksacks and advised them to arrive earlier than usual to allow for the enhanced checks.,to consider something when making a plan or calculation
allow for,"The cost of the new road, allowing for inflation, is around £17 million.",to consider something when making a plan or calculation
allow for,The survey does not allow for the fact that some students are attending part-time.,to consider something when making a plan or calculation
allow of,The evidence allows of no other interpretation.,to show that something is possible
allow of,"The possibility must be allowed of concepts which are not concepts of any actual thing, and of names which express a sense but have no denotation.",to show that something is possible
angle for,She didn’t want Ron thinking that she was angling for sympathy.,to try to make someone give you something without asking for it directly
answer back,"A survey of 2,000 parents suggests this is the age when children answer back and become influenced by their peers.",to reply rudely to someone who has more authority than you
answer back,At school he was bullied for his weight but says he always answered back.,to reply rudely to someone who has more authority than you
answer back,But there are ways of answering back.,to reply rudely to someone who has more authority than you
answer back,Don’t you dare answer me back!,to reply rudely to someone who has more authority than you
answer back,I don’t like children who answer back.,to reply rudely to someone who has more authority than you
answer back,I'm not going to answer back.,to reply rudely to someone who has more authority than you
answer back,It is his way of answering back those who doubted him.,to reply rudely to someone who has more authority than you
answer back,It's a festival where writers get an opportunity to meet their audiences - but their audiences also get to answer back.,to reply rudely to someone who has more authority than you
answer back,"So what happens is one sees another one calling and waves, and the other one waves an answer back.",to reply rudely to someone who has more authority than you
answer back,"The way you answer back, his father sang.",to reply rudely to someone who has more authority than you
answer back,"You are answering back, get up that hill.",to reply rudely to someone who has more authority than you
answer for,But this week he has a lot to answer for.,to agree to be responsible for something
answer for,He will have to answer for the detailed handling of the operation.,to agree to be responsible for something
answer for,"I can’t answer for my colleagues, but as far as I’m concerned this is a great proposal.",to agree to be responsible for something
answer for,The managers of that company have a lot to answer for.,to agree to be responsible for something
answer for,"Yes, the average rock festival has a lot to answer for.",to agree to be responsible for something
answer for,You have to answer for any problems that happen during the show.,to be responsible for a lot of bad things that have happened
answer to,I answer to no one except the president.,to have to explain to someone why you did something
answer to,a small boy answering to the name of Andrew,to have a particular name
arrive at,How did they arrive at that figure?,"to reach a result, decision, or solution to a problem"
arrive at,The two studies arrive at very different conclusions.,"to reach a result, decision, or solution to a problem"
ask after,He was about to ask after Paula when the kitchen door opened and she appeared lugging a rubbish sack.,to ask for news about someone
ask after,I met Bob and he asked after you.,to ask for news about someone
ask after,"I would engage him in conversation, ask after his health and that of his family, and tell him it was good to hear his voice.",to ask for news about someone
ask after,`I thought you might be calling to ask after that guy you sent us.,to ask for news about someone
ask around,Ask around and find out if it is.,to ask several people for information or advice
ask around,"I asked around, but nobody had seen him for days.",to ask several people for information or advice
ask around,I'm 17 and have been asking around for plumbing apprenticeships for a good 4 months now.,to ask several people for information or advice
ask around,"It may only be known by those already working in your chosen field, so ask around.",to ask several people for information or advice
ask for,Anyone who drives while they’re drunk is just asking for it.,to speak or write to someone because you want them to give you something
ask for,He’s always reluctant to ask for anyone’s help.,used for emphasizing that something is so good that nothing could be better
ask for,I couldn’t ask for a more caring bunch of people to work with.,used for emphasizing that something is so good that nothing could be better
ask for,She’s asking for trouble speaking to people like that.,used for emphasizing that something is so good that nothing could be better
ask for,There’s someone in the shop asking for the manager.,used for emphasizing that something is so good that nothing could be better
ask for,We couldn’t have asked for better weather.,used for emphasizing that something is so good that nothing could be better
ask out,Finally he asked her out.,"to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
ask out,Let her breathe the air outside of Sanctuary for a time and then ask her the same question.,"to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
ask out,She was rather disgusted that she had not thought to ask Filip to pack any food.,"to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
ask out,"Walter, she checked into that hotel alone - don't ask me why, I can't explain it.","to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
ask out,"We're friends, so I'm going to keep my temper and ask you what you're suggesting.","to invite someone to go with you to a cinema, restaurant etc because you want to start a romantic or sexual relationship with them"
associate with,"While she was in Paris, she associated with many well-known artists.",to spend time with someone
attend to,Are you being attended to?,to deal with something or someone
attend to,He likes work that requires him to attend to a lot of detail.,to deal with something or someone
attend to,Please take a seat and I’ll ask someone to attend to you.,to deal with something or someone
attend to,We still have a number of other matters to attend to.,to deal with something or someone
average out,"Total contributions average out at over £1,000 a week.",to have a particular number or amount as an average
awaken to,It took them many years to awaken to the dangers they were facing.,"to begin to notice something, or to make someone begin to notice something, especially danger"
awaken to,Someone needed to awaken Gavin to the fact that his marriage was in danger.,"to begin to notice something, or to make someone begin to notice something, especially danger"
back away,The World Bank is backing away from big infrastructure projects.,to gradually become less involved in something
back away,The photo showed a woman backing away from a man with a gun.,to gradually become less involved in something
back down,But he backed down after furious critics said transparency was vital to public trust.,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
back down,How do we get him back down there?,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
back down,Neither side is willing to back down.,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
back down,We will not back down on the decision to strike.,"to stop asking for something, or to stop saying that you will do something, because a lot of people oppose you"
back off,"Back off, will you? I’ll tell you when I’m ready!",to move backwards in order to get further away from something
back off,Everyone back off and let the doctor through.,to stop criticizing someone or telling them what to do
back off,"Her long copper-colored hair was tied back off her face, a few wavy strands curling free.",to move backwards in order to get further away from something
back off,"Peering past his nose ring, the diminutive bartender didn't blink, and he didn't back off either.",to move backwards in order to get further away from something
back off,"She sat cross-legged on the rock, the mountain breeze playing with her hair, drawing it back off her face.",to move backwards in order to get further away from something
back off,"The dazzling sunlight bounced back off the swimming pool, a painful emerald glare.",to move backwards in order to get further away from something
back onto,a field that backs onto a railway line,"if a building, garden etc backs onto a place, that place is directly behind it"
back out,"He brushed it back out of his eyes, intrigued enough to say: `Yes, once.",to decide not to do something you agreed to do
back out,"He doesn't want her back out of love, or out of his desperation to make a good album.",to decide not to do something you agreed to do
back out,"Her lips twisted in wry acknowledgement, then she found reverse gear and let in the clutch to back out.",to decide not to do something you agreed to do
back out,I promised to help and I’m not backing out now.,to decide not to do something you agreed to do
back out,"I'd like you to take care of Mr. Bonham and get him back out to the Wasp, next available transportation.",to decide not to do something you agreed to do
back out,We’re hoping that no one will back out of the deal.,to decide not to do something you agreed to do
back out of,I promised to help and I’m not backing out now.,to decide not to do something you agreed to do
back out of,We’re hoping that no one will back out of the deal.,to decide not to do something you agreed to do
back up,All the evidence backs up her story.,to move backwards a short distance
back up,Back up: didn’t you say they had already met?,to move backwards a short distance
back up,Cars were backed up for miles.,to make a car go backwards
back up,I need everyone to back up about 10 paces.,to move backwards a short distance
back up,If I ask for more money will you back me up?,to move backwards a short distance
back up,I’ll back the car up the driveway.,to move backwards a short distance
back up,Orders are really backed up this month.,used for telling someone to return to something that was said earlier
back up,See if you can back up a bit further.,to make a copy of information on your computer
back up,The notion that our southern friends take more risks seems to be backed up by the statistics.,"if a system backs up, or if it is backed up, it has slowed down or stopped working because there is too much of something for it to deal with"
back up,There are fears that stinking sewage may back up into homes and businesses.,"if traffic backs up, or if it is backed up, the vehicles are in a long line and waiting to continue moving"
back up,Traffic is backing up on all out-of-town routes.,to move backwards a short distance
bag up,They’ll only accept coins that have been bagged up.,same as bag
bail out,"And then, because of the FDIC, the taxpayers had to bail out the banks.",to escape from a plane by parachute
bail out,Investors bailed out of high-tech stocks as prices plunged.,to give money to a court when someone is allowed to stay out of prison while they wait for their trial
bail out,My father got a lawyer and bailed me out.,to escape from a plane by parachute
bail out,The government has already bailed the project out once before.,to escape from a plane by parachute
bail out of,Investors bailed out of high-tech stocks as prices plunged.,to give money to a court when someone is allowed to stay out of prison while they wait for their trial
bail out of,My father got a lawyer and bailed me out.,to escape from a plane by parachute
bail out of,The government has already bailed the project out once before.,to escape from a plane by parachute
balance out,Don’t worry – it’ll all balance out in the end.,same as balance
balance out,The tangy fruit balances out the creaminess of the sauce.,same as balance
balance up,We need to balance up inequality of treatment between men and women.,to make two different things equal in amount or value
band together,A small group of survivors band together and go in search of a safe haven in an America that has been overrun by ravenous zombies.,to come together as a group in order to achieve something
band together,But ugly people do not band together: there is no conscious group formation around the idea of ugly.,to come together as a group in order to achieve something
band together,It was envisaged that some might then wish to become landscape gardeners while others would band together to buy small farms sold to them by Mrs Belmont.,to come together as a group in order to achieve something
band together,The various opposition groups have banded together to form a single party.,to come together as a group in order to achieve something
band together,Their threat: that they will band together and protect themselves from Chinese imports with tariffs and other measures.,to come together as a group in order to achieve something
bang on,Is she still banging on about the neighbours?,to talk about something for a long time in a boring and annoying way
bang on,My look is set to be bang on trend.,to talk about something for a long time in a boring and annoying way
bang on,This autumn it was bang on cue.,to talk about something for a long time in a boring and annoying way
bang on about,Is she still banging on about the neighbours?,to talk about something for a long time in a boring and annoying way
bang up,He spent seven years banged up in a prison cell.,to put someone in prison
bang up,How did your truck get all banged up?,to put someone in prison
bang up,I came past the stables just before the storm broke---there's a bang-up pair of greys stabled there.,to damage something such as a vehicle
bank in,"The dogs have been vaccinated now, and we have banked in the money to the vet directly.",to pay money into a bank
bank on,"Indeed, some pharmaceutical manufacturers are banking on it.",to depend on something happening or on someone doing something
bank on,She is upbeat about the polls and is banking on an unpopular president and an unpopular war.,to depend on something happening or on someone doing something
bank on,They are banking on the future being good.,to depend on something happening or on someone doing something
bank on,They’re banking on him to save the match.,to depend on something happening or on someone doing something
bank up,"Before going to bed, she banked up the fire.",to make something into a pile
bank up,Soil was banked up against the wall.,to make something into a pile
bargain on,She’s bargaining on me changing my mind.,"to expect something to happen, often because something else depends on it"
barge in,He just barged in on us in the middle of a meeting.,"to enter a room suddenly and noisily, usually interrupting someone in a rude way"
barge in,The kids just barge in without knocking.,"to enter a room suddenly and noisily, usually interrupting someone in a rude way"
base on,Green politics are based on the belief that the resources of the planet are finite.,"to use something as a model for a film, piece of writing, or work of art"
base on,He bases his designs on Roman mosaics.,"to use something as a model for a film, piece of writing, or work of art"
base on,Prices are based on two people sharing a room.,"to use something as a model for a film, piece of writing, or work of art"
base on,The film is based on a true story.,"to use something as a model for a film, piece of writing, or work of art"
base on,The prosecution’s case is based largely on evidence from ex-members of the gang.,"to use something as a model for a film, piece of writing, or work of art"
bash away at,She’s still bashing away at her last chapter.,to continue to work hard on something
bash on,I’d better bash on with this – I’ll see you later.,to continue to do something when you would prefer to stop
batter down,Police battered down her door and found the girl.,to break a door or gate in order to get through it
batter down,Some escaped after a bouncer battered down a partition wall.,to break a door or gate in order to get through it
batter down,They battered down the door only to find that the suspect had already been arrested.,to break a door or gate in order to get through it
bear down,I can't have a wobbly surface when I'm trying to bear down.,to push or press downwards
bear down,I could see a police car bearing down on us.,to push or press downwards
bear down,"I'd run this gauntlet with clients a zillion times, there was nothing to do but bear down and go forward.",to push or press downwards
bear down,It’s a natural instinct for a woman giving birth to bear down.,to push or press downwards
bear down,The structure is positioned to bear down on its supports.,to push or press downwards
bear down,"The wind reached Harmony, slamming her boom to port; she began to bear down on Grace.",to push or press downwards
bear down,These two things seemed to bear down on me with all the weight of a personal failure.,to push or press downwards
bear down on,I could see a police car bearing down on us.,to push or press downwards
bear down on,It’s a natural instinct for a woman giving birth to bear down.,to push or press downwards
bear down on,The structure is positioned to bear down on its supports.,to push or press downwards
bear on,Do you have any information bearing on his disappearance?,to be connected with something or to influence it
bear out,"However, we did carry out the usual measurements and they bear out her observations.",to show that something is true or that someone is telling the truth
bear out,I always said – and Rick will bear me out – that this wouldn’t work.,to show that something is true or that someone is telling the truth
bear out,"Now, that could bear out what I've always thought -- that Alec was set up, that he knew too much, and now he wants to blow it sky high.",to show that something is true or that someone is telling the truth
bear out,Scientific evidence bears out the claim that stress and disease are linked.,to show that something is true or that someone is telling the truth
bear up,A few nights ago during the course of a dinner I got an insight into how he is bearing up.,to behave in a brave way in a very sad or difficult situation
bear up,"Asked how he was bearing up under the mounting questions about his economic competence, he was dismissive of the sceptics.",to behave in a brave way in a very sad or difficult situation
bear up,But his protests of poverty do not bear up to scrutiny.,to behave in a brave way in a very sad or difficult situation
bear up,I feel all right but am just bearing up.,to behave in a brave way in a very sad or difficult situation
bear up,Let’s see how he bears up under the pressure.,to behave in a brave way in a very sad or difficult situation
bear up,"Many of those losing their homes are bearing up, making ironic jokes and getting on with salvaging upstairs furniture and white goods.",to behave in a brave way in a very sad or difficult situation
bear up under,Let’s see how he bears up under the pressure.,to behave in a brave way in a very sad or difficult situation
bear with,But bear with us here.,used as a polite way of asking someone to be patient while you do or finish something
bear with,"I know it's boring, but bear with me for a bit.",used as a polite way of asking someone to be patient while you do or finish something
bear with,"If you just bear with me for a few more minutes, we’ll have all the paperwork finished.",used as a polite way of asking someone to be patient while you do or finish something
beat down,"As the sun beat down, a beach ball was launched along the terrace.",to persuade someone to sell you something at a lower price than their first offer
beat down,I could feel the sun beating down on my head.,to persuade someone to sell you something at a lower price than their first offer
beat down,The midday sun beat down on the men as they lay in the ditches and fields around the village.,to persuade someone to sell you something at a lower price than their first offer
beat down,"The original price was £100,000, but we beat them down to £95,000.",to persuade someone to sell you something at a lower price than their first offer
beat down,The sun beat down on our economy rental car.,to persuade someone to sell you something at a lower price than their first offer
beat down,The sun beats down from a clear blue sky.,"if the rain beats down, it rains very hard"
beat off,He had to beat the dogs off with a stick.,to succeed in winning or gaining something from an opponent
beat off,Virgin Airlines must beat off stiff competition to win the contract.,to succeed in winning or gaining something from an opponent
beat off,efforts to beat off their rivals,to succeed in winning or gaining something from an opponent
beat on,"According to the witness, the police ran up and started beating on him.",to hurt someone by hitting them a lot of times
beat out,Atlanta beat out Athens for the privilege of hosting the 1996 Olympics.,to make someone tell you something by hitting them
beat out,He claims that the confession was beaten out of him.,to make someone tell you something by hitting them
beat out,Now the drummers ahead of the lines beat out a quicker cadence in a great booming thunder as ten thousand men began marching forward.,to make someone tell you something by hitting them
beat out,She beat out the flames with a branch.,to make someone tell you something by hitting them
beat out,drummers beating out a rhythm,to stop a fire from burning by hitting it with something
beat up,A husband who beat up his wife in a row over rubbish going into the wrong recycling bins is facing jail.,to blame or criticize yourself or someone else
beat up,"He and his henchman kidnapped and beat up a borrower who had ended up owing £250,000 in interest alone.",to hurt someone by hitting or kicking them many times
beat up,He did a year for beating up a pub landlord and trying to cover it up.,to hurt someone by hitting or kicking them many times
beat up,He quaffed back his beer and strode through the beat-up hotel lobby.,to hurt someone by hitting or kicking them many times
beat up,"He sat in the chair, his elbows resting on the beat-up table, embarrassed at what his answer had to be.",to hurt someone by hitting or kicking them many times
beat up,I got beat up in the jungle.,to hurt someone by hitting or kicking them many times
beat up,I'm glad you got an old beat-up car instead of a gross Cadillac or something.,to blame or criticize yourself or someone else
beat up,It’s time you stopped beating yourself up over this.,to blame or criticize yourself or someone else
beat up,"Kenneth would send him and he'd come like a beat-up, punch-drunk fighter; useless and straight into the trap.",to hurt someone by hitting or kicking them many times
beat up,They threatened to beat me up if I didn’t give them my wallet.,to hurt someone by hitting or kicking them many times
beat up on,He and his brother are always beating up on each other.,same as beat up
beat up on,I’m not here to beat up on single parents.,same as beat up
beaver away,He was beavering away at his homework until after midnight.,"if you beaver away at something, you work very hard at it"
become of,"If she is sent to prison, what will become of her children?","used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them"
become of,Whatever became of the painting that used to be in your grandfather’s library?,"used for asking what has happened to someone or something, because you have not seen them for a long time, or what will happen to them, because you are worried about them"
bed down,Extra guests can bed down in neighbouring barns that sleep up to six.,"to lie down, or to put someone else into a bed or another place to sleep"
bed down,It was time to bed down for the night.,"to lie down, or to put someone else into a bed or another place to sleep"
bed down,John and Steve can bed down in the living room.,"to lie down, or to put someone else into a bed or another place to sleep"
bed down,Last night those still holding out hope of getting on to flights bedded down for a second time under silver foil blankets.,"to lie down, or to put someone else into a bed or another place to sleep"
bed down,Smear the chicken with 1 tbsp olive oil and bed down on the thyme.,"to lie down, or to put someone else into a bed or another place to sleep"
bed down,"The creatures were expected to bed down from December until March, but more than 400 have already woken up.","to lie down, or to put someone else into a bed or another place to sleep"
beef up,But he had just alerted police that his life was in danger and beefed up security at his home.,"to increase or improve something, or to make it more interesting"
beef up,He laughs at the suggestion that he used steroids to beef up for the role.,"to increase or improve something, or to make it more interesting"
beef up,The Indian central bank has been beefing up its reserves.,"to increase or improve something, or to make it more interesting"
beef up,The hotel plans to beef up its marketing effort.,"to increase or improve something, or to make it more interesting"
beef up,We have beefed up security for his national tour.,"to increase or improve something, or to make it more interesting"
believe in,I don’t believe in miracles.,to think that someone or something exists
believe in,I’m beginning to think you actually believe in ghosts!,to think that someone or something exists
believe in,She used to say she didn’t believe in marriage.,to think that someone or something exists
believe in,Some of his previous supporters have stopped believing in him.,to think that someone or something exists
believe in,Some of his supporters have stopped believing in him.,to think that someone or something exists
belong to,"Of course, all the credit really belongs to my partner, Sam.",to be owned by someone
belong to,She belongs to the school computer club.,to be owned by someone
belong to,The car belongs to the woman next door.,to be owned by someone
belong to,The future belongs to you.,to be owned by someone
belong to,They belong to a different generation.,to be owned by someone
belong to,This belongs to the same family of drugs as Prozac.,to be owned by someone
belong to,This painting clearly belongs to a later period.,to be owned by someone
belong to,Who does this coat belong to?,to be owned by someone
belt out,"`But who the thieves were, or how they got the belt out of the museum, no one can guess,"" Taro said unhappily.","to shout or sing something loudly, or to play something loudly on a musical instrument"
belt up,"After all it's no longer my house...' `Och, belt up ,' said Grey good-naturedly.",to put on a seat belt in a car
belt up,"Oh, belt up ,"" whispered Alec, as he heard footsteps in the corridor.",to put on a seat belt in a car
belt up,"With his good hand he picked his sword belt up from the chest and slung it onto the bed next to her, then raised the lid to rummage round.",to put on a seat belt in a car
bid up,"Last week, they bid up the hush money we pay out to that bent inspector, an ""he closed us down in two places.","to offer money for something in order to increase its price, and not because you want to buy it"
big up,It was an article bigging up some new DJ.,"to enjoy yourself in a social situation, often by spending a lot of money"
big up,This time next week we’ll be bigging it up in Ibiza.,"to enjoy yourself in a social situation, often by spending a lot of money"
bill as,Electric cars are being billed as the automobiles of the future.,"to advertise or describe someone or something in a particular way, especially in order to make them sound interesting or important"
bind over,They were bound over to keep the peace.,"if a court binds someone over, it warns them that they will be punished if they break the law again"
bite at,The animals might bite at your fingers if you put them through the fence.,to try to bite something without in fact managing to bite it
bite back,And he wanted to get some bite back into his forwards.,to stop yourself from saying what you think
bite back,But you need to bite back impatience to get good results from cash talks.,to stop yourself from saying what you think
bite back,It was his instinct to bite back.,to stop yourself from saying what you think
bite back,Paul bit back an angry reply.,to stop yourself from saying what you think
bite back,The Big Apple is going to bite back.,to stop yourself from saying what you think
bite back,The show gets its bite back in a Rocky Horror special.,to stop yourself from saying what you think
bite into,The metal collar bit into his neck.,to press hard into a surface
bite off,Are you sure you haven’t bitten off more than you can chew with this job?,to separate something from the main part by biting
bite off,I bit off a chunk of chocolate.,to separate something from the main part by biting
black out,Half the pages in the report had been blacked out for security reasons.,to suddenly become unconscious
black out,He had blacked out as his car hit the tree.,to suddenly become unconscious
black out,"Just as he knew he was about to black out, Joab flung him into the cell and slammed the grate shut.",to suddenly become unconscious
blank out,I don’t know what happened – I just blanked out.,same as blank
blank out,Some of the words had been blanked out.,same as blank
blank out,The experience was so terrible he just blanked it out.,same as blank
blast away,Machine guns were blasting away in the distance.,"if music is blasting away, it is playing very loudly"
blast away,One night we had just dropped our bombs over Dusseldorf and the anti aircraft guns blasted away at us.,"if music is blasting away, it is playing very loudly"
blend in,Security men were trying to blend in with the crowd.,"if someone or something blends in, they are similar to the other people, objects, buildings etc around them, and so they seem appropriate or you do not notice them"
blend in,The new library blends in perfectly with the surrounding buildings.,"if someone or something blends in, they are similar to the other people, objects, buildings etc around them, and so they seem appropriate or you do not notice them"
blend into,Her dreams had a way of blending into her waking thoughts.,to seem to gradually change into something else
block in,Broad flat brushes are useful for blocking in colour.,to completely cover a large area of something such as a painting with one colour
block in,"His home was a fifth-floor apartment in a modern block in Pimlico, close to Ebury Street where Mozart had once lived.",to stop someone from moving their car out of a place
block in,Just block in the main points for now and we’ll sort the details out later.,to completely cover a large area of something such as a painting with one colour
block in,"Two days later, at the specified time, she entered a crumbling apartment block in Montmartre.",to stop someone from moving their car out of a place
block in,When I came back to the car park my car was blocked in.,to stop someone from moving their car out of a place
block in,"Working through lunch, as usual, grabbing a sandwich Cheryl had brought in from the deli down the block in between phone calls.",to stop someone from moving their car out of a place
block off,Snow had blocked off several streets.,to completely stop something from happening or progressing
block out,He had always managed to block out the incident.,same as block in
block out,Previous experience had taught him that having the Fat Man in the background tended to block out the light.,to stop light or sound from reaching something
block out,"Sabrina snatched up the photograph and used her hand first to block out the beard, then the hair.",to stop yourself from thinking about or remembering something
block out,That tree in the neighbour’s garden blocks out a lot of light.,to stop light or sound from reaching something
